あ,い,う,え,お,
ぁ,ぃ,ぅ,ぇ,ぉ,
ア,イ,ウ,エ,オ,
ァ,ィ,ゥ,ェ,ォ,
,,ゔ,,,
,,ヴ,,,
か,き,く,け,こ,
カ,キ,ク,ケ,コ,
が,ぎ,ぐ,げ,ご,
ガ,ギ,グ,ゲ,ゴ,
きゃ,,きゅ,,きょ,
キャ,,キュ,,キョ,
ぎゃ,,ぎゅ,,ぎょ,
ギャ,,ギュ,,ギョ,
ヵ,,,ヶ,,
さ,し,す,せ,そ,
サ,シ,ス,セ,ソ,
ざ,じ,ず,ぜ,ぞ,
ザ,ジ,ズ,ゼ,ゾ,
しゃ,,しゅ,,しょ,
シャ,,シュ,,ショ,
じゃ,,じゅ,,じょ,
ジャ,,ジュ,,ジョ,
た,ち,つ,て,と,
タ,チ,ツ,テ,ト,
だ,ぢ,づ,で,ど,
ダ,ヂ,ヅ,デ,ド,
ちゃ,,ちゅ,,ちょ,
チャ,,チュ,,チョ,
な,に,ぬ,ね,の,
ナ,ニ,ヌ,ネ,ノ,
にゃ,,にゅ,,にょ,
ニャ,,ニュ,,ニョ,
は,ひ,ふ,へ,ほ,
ハ,ヒ,フ,ヘ,ホ,
ば,び,ぶ,べ,ぼ,
バ,ビ,ブ,ベ,ボ,
ぱ,ぴ,ぷ,ぺ,ぽ,
パ,ピ,プ,ペ,ポ,
ひゃ,,ひゅ,,ひょ,
ヒャ,,ヒュ,,ヒョ,
びゃ,,びゅ,,びょ,
ビャ,,ビュ,,ビョ,
ぴゃ,,ぴゅ,,ぴょ,
ピャ,,ピュ,,ピョ,
ま,み,む,め,も,
マ,ミ,ム,メ,モ,
みゃ,,みゅ,,みょ,
ミャ,,ミュ,,ミョ,
や,,ゆ,,よ,
ゃ,,ゅ,,ょ,
ヤ,,ユ,,ヨ,
ャ,,ュ,,ョ,
ら,り,る,れ,ろ,
ラ,リ,ル,レ,ロ,
りゃ,,りゅ,,りょ,
リャ,,リュ,,リョ,
わ,ゐ,,ゑ,を,
ワ,ヰ,,ヱ,ヲ,
ゎ,,,,,
ヮ,,,,,
,,,,,ん
,,,,,ン
