誤用,訂正文
こにちは。,こんにちは。
どもありがとう。,どうもありがとう。
おはいようございます。,おはようございます。
天気がよくじゃないです。,天気がよくないです。
天気はいいでした。,天気はよかったです。
このケーキはおいしいじゃないです。,このケーキはおいしくないです。
このケーキはおいしいじゃないでした。,このケーキはおいしくなかったです。
このケーキはおいしくなかったでした。,このケーキはおいしくなかったです。
このケーキはおいしくありませんです。,このケーキはおいしくありません。
日本語はたのしです。,日本語はたのしいです。
私のへやはきれいくないです。,私のへやはきれいじゃないです。
私は大学の学生です。,私は大学生です。
私はスミスさんです。,私はスミスです。
私は学生でわありません。,私は学生ではありません。
先生山下は日本人です。,山下先生は日本人です。
私はにくを食べませんです。,私はにくを食べません。
家に五時ごろ行きます。,家に五時ごろ帰ります。
レストラントでひるごはんを食べました。,レストランでひるごはんを食べました。
きのう七時半間ねました。,きのう七時間半ねました。
かばんを買い物しました。,かばんを買いました。
さむいコーヒーをください。,つめたいコーヒーをください。
大学は元気です。,大学はにぎやかです。
およぐに行きました。,およぎに行きました。
今日、先生のオフィスに来ます。,今日、先生のオフィスに行きます。
としょうかんで勉強します。,としょかんで勉強します。
いしょうに勉強しませんか。,いっしょに勉強しませんか。
いしょに勉強しませんか。,いっしょに勉強しませんか。
いっしょに勉強しましょか。,いっしょに勉強しましょうか。
クラスで音楽をきてもいいですか。,クラスで音楽をきいてもいいですか。
クラスで音楽をききてもいいですか。,クラスで音楽をきいてもいいですか。
バスにのて、大学に行きます。,バスにのって、大学に行きます。
いもうとがあります。,いもうとがいます。
二いもうとがいます。,いもうとが二人います。
明日、テストはあらないと思います。,明日、テストはないと思います。
本をかりってもいいですか。,本をかりてもいいですか。
私はいそがしいないです。,私はいそがしくないです。
私はひまじゃなかったでした。,私はひまじゃなかったです。
会社につとめます。,会社につとめています。
ごろ七時におきます。,七時ごろにおきます。
友だちはきれいでも、こわいです。,友だちはきれいですけど、こわいです。
小さいな町です。,小さな町です。
私の家にきってください。,私の家にきてください。
先生はやさしいだと思います。,先生はやさしいと思います。
明日、大学へ行くつもります。,明日、大学へ行くつもりです。
勉強したつもりです。,勉強するつもりでした。
友だちに会いて、話しました。,友だちに会って、話しました。
友だちに会て、話しました。,友だちに会って、話しました。
友だちを見て、話しました。,友だちに会って、話しました。
えきの南口を出って、まっすぐ行ってください。駅の南口を出て、まっすぐ行ってください。,
この道を右に行いてください。,この道を道に行ってください。
ごはんはおいしくなかたです。,ごはんはおいしくなかったです。
ごはんはあまりおいしかったです。,ごはんはあまりおいしくなかったです。
これはおもしろいなの？,これはおもしろいの？
この本、おもしろいか？,この本、おもしろい？
安いだから、いいです。,安いから、いいです。
この本はおもしろくて、よかったでした。,この本はおもしろくて、よかったです。
この本はおもしろいくて、よかったです。,この本はおもしろくて、よかったです。
学校に早い行かなければいけません。,学校に早く行かなければいけません。
どっちのほうが人気があるですか。,どっちのほうが人気がありますか。
夏と冬とどちらのほうが一番好きですか。,夏と冬とどちらのほうが好きですか。
食べ物の中で、どちらが一番好きですか。,食べ物の中で、どれが一番好きですか。
有名のは、大学です。,有名なのは、大学です。
日曜日に働きなければいけません。,日曜日に働かなければいけません。
日曜日に働くなきゃいけません。,日曜日に働かなければいけません。
パソコンを使うすぎたので、つかれました。,パソコンを使いすぎたので、つかれました。
パソコンを使いすぎので、つかれました。,パソコンを使いすぎたので、つかれました。
かぜをひきたので、休みます。,かぜをひいたので、休みます。
天気よほうは、雨だと言ていました。,天気よほうは、雨だと言っていました。
家がきれいくなりました。,家がきれいになりました。
男の子が大きいになりました。,男の子が大きくなりました。
これくつはやすいです。,このくつはやすいです。
あれ人はだれですか。,あの人はだれですか。
先生はきれい人です。,先生はきれいな人です。
たばこをしてはいけません。,たばこをすってはいけません。
友だちとゲームをあそびました。,友だちをゲームをしました。
友だちは家にきないと思います。,友だちは家にこないと思います。
友だちは歌が上手と思います。,友だちは歌が上手だと思います。
これをきらないでください。,これを着ないでください。
クラスが九時に始めた。,クラスが九時に始まった。
友だちは、歌っています人です。,友だちは、歌っている人です。
本を読む人はだれですか。,本を読んでいる人はだれですか。
山下さんを知りますか。,山下さんを知っていますか。
山下さんを知っていません。,山下さんを知りません。
まだひるごはんを食べません。,まだひるごはんを食べていません。
あるいてで、大学に来ました。,あるいて、大学に来ました。
ひまな時、テレビを見たり、本を読んだりです。,ひまな時、テレビを見たり、本を読んだりします。
しゅくだいをするほうがいいですよ。,しゅくだいをしたほうがいいですよ。
日本語の作文を書きたことがあります。,日本語の作文を書いたことがあります。
つかれているだから、今日は出かけません。,つかれているから、今日はでかけません。
勉強するから、明日テストがあります。,明日テストがあるから、勉強します。
今日、うんどうしませんでしょう。,今日、うんどうしないでしょう。
飲みものを連れてきてください。,飲みものを持ってきてください。
友だちを持ってきてもいいですか。,友だちを連れてきてもいいですか。
