正しい文,誤用文,品詞情報,選択肢,新しいトーケン,変化されたトーケン,保存されたトーケン

#,"動詞（verb, て-form)"
分かって,分かるて,"動詞,自立,五段・ラ行,連用タ接続,分かる,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0]]","[[1, 1]]"
作って,作りて,"動詞,自立,五段・ラ行,連用タ接続,作る,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0]]","[[1, 1]]"
遊んで,遊ぶで,"動詞,自立,五段・バ行,連用タ接続,遊ぶ,助詞,接続助詞,*,*,で","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0]]","[[1, 1]]"
死んで,死にで,"動詞,自立,五段・ナ行,連用タ接続,死ぬ,助詞,接続助詞,*,*,で","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0], [1, 1]]",[]
零して,零すて,"動詞,自立,五段・サ行,連用形,零す,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0]]","[[1, 1]]"
分かって,分かて,"動詞,自立,五段・ラ行,連用タ接続,分かる,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[1],"[[0, 0]]",[]
歩いて,歩いてで,"動詞,自立,五段・カ行イ音便,連用タ接続,歩く,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[2],[],"[[0, 0], [1, 1]]"
遊んで,遊んて,"動詞,自立,五段・バ行,連用タ接続,遊ぶ,助詞,接続助詞,*,*,で","1,0,0,1,0,1,1,-1,-1,1",[1],[],"[[0, 0]]"
話して,話しで,"動詞,自立,五段・サ行,連用形,話す,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[1],[],"[[0, 0]]"
行って,行っで,"動詞,自立,五段・カ行促音便,連用タ接続,行く,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[1],[],"[[0, 0]]"

#,"動詞（verb, た-form)"
作った,作りた,"動詞,自立,五段・ラ行,連用タ接続,作る,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
作った,作るた,"動詞,自立,五段・ラ行,連用タ接続,作る,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
話した,話すた,"動詞,自立,五段・サ行,連用形,話す,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,0,0",[],"[[0, 0]]","[[1, 1]]"
